fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
15/09/2020,34,936,39,1,918,71,437,68,27
07/10/2020,37,936,86,1,978,28,440,51,28
19/08/2021,24,936,62,0,218,32,257,61,18
14/11/2021,26,936,96,0,973,29,45,40,21
15/06/2022,25,936,80,1,449,59,366,51,27
07/01/2024,34,936,38,1,302,96,94,50,11
19/06/2018,25,937,47,1,769,45,395,45,18
29/07/2018,20,937,43,0,661,44,446,47,23
18/01/2019,19,937,33,1,885,72,290,57,18
16/10/2019,27,937,32,0,361,20,250,57,15
19/02/2021,34,937,34,0,116,80,488,73,18
19/07/2021,21,937,89,0,212,6,158,70,30
10/11/2021,35,937,91,1,301,8,385,29,13
05/09/2023,27,937,50,0,174,15,55,50,21
24/04/2018,25,938,74,1,262,89,472,53,23
03/10/2018,29,938,76,0,338,50,317,57,19
21/02/2019,36,938,74,0,441,45,311,49,20
16/05/2019,17,938,65,1,963,2,234,57,24
23/01/2020,34,938,47,1,507,75,173,52,16
02/02/2020,41,938,63,0,961,30,186,42,19
30/12/2020,34,938,86,0,742,55,159,45,23
23/03/2021,30,938,30,1,949,74,10,44,13
13/07/2021,25,938,59,1,402,1,181,45,22
05/09/2022,19,938,25,1,568,15,396,69,17
25/05/2023,18,938,23,1,583,46,397,48,28
29/07/2023,30,938,87,1,271,33,173,35,26
15/08/2018,22,939,24,1,653,76,201,63,21
27/04/2022,18,939,40,0,108,99,31,42,29
05/03/2023,34,939,96,1,255,40,222,41,12
27/01/2024,33,939,69,0,431,58,332,59,13
13/01/2019,39,940,58,1,743,74,13,42,19
17/02/2019,33,940,71,0,993,71,107,42,29
21/10/2019,23,940,80,1,961,9,214,39,18
23/05/2020,22,940,69,1,266,12,275,55,20
17/10/2021,43,940,66,0,460,29,86,44,8
23/06/2023,31,940,87,0,556,54,251,68,24
16/12/2023,41,940,63,0,401,72,414,25,22
19/02/2018,30,941,95,1,554,67,349,50,20
16/03/2019,31,941,67,1,910,88,450,58,19
24/07/2019,31,941,54,1,471,86,429,39,24
28/09/2020,26,941,43,1,844,74,333,37,14
01/10/2020,30,941,40,0,175,59,67,33,18
17/11/2020,23,941,35,1,736,1,499,57,18
01/04/2022,27,941,56,0,350,82,150,45,18
28/09/2022,28,941,44,0,207,22,105,46,28
31/07/2023,31,941,93,0,480,57,46,47,20
04/02/2018,23,942,63,0,546,0,185,47,23
06/12/2018,24,942,62,1,746,45,403,47,18
06/11/2019,30,942,36,0,581,0,259,45,9
16/01/2020,31,942,86,1,888,88,373,33,23
29/12/2021,37,942,37,1,457,1,327,62,15
14/10/2022,32,942,59,0,462,4,458,30,21
27/10/2022,29,942,37,0,470,63,495,46,25
23/11/2022,30,942,22,1,222,3,65,55,14
06/02/2023,30,942,95,0,207,93,345,53,17
23/05/2023,27,942,69,1,496,68,470,55,31
21/09/2023,35,942,95,0,461,50,297,80,14
07/11/2023,34,942,27,0,316,79,302,58,17
22/03/2018,38,943,96,0,508,98,259,73,12
23/07/2018,27,943,29,1,760,98,472,59,31
02/11/2018,44,943,35,1,854,50,340,49,23
20/11/2018,40,943,23,1,642,10,489,60,11
30/12/2018,35,943,85,1,146,68,260,51,17
24/03/2019,25,943,31,0,454,64,83,55,16
01/04/2019,29,943,29,1,945,30,211,43,19
02/05/2019,25,943,41,0,665,22,152,39,31
26/02/2020,32,943,49,1,779,22,233,38,23
24/06/2020,27,943,79,1,340,15,380,55,25
05/01/2021,39,943,86,1,245,1,267,46,8
27/11/2021,35,943,65,0,137,99,209,39,22
12/05/2022,29,943,25,0,986,14,210,51,26
22/08/2022,18,943,99,1,463,82,289,44,24
15/09/2022,27,943,48,0,571,66,366,59,35
24/11/2022,26,943,53,0,257,55,84,46,18
06/06/2023,31,943,71,1,415,64,236,46,28
19/10/2023,31,943,66,0,221,42,112,39,16
31/10/2023,35,943,61,1,865,94,16,37,24
03/01/2024,29,943,41,1,962,85,46,55,14
13/09/2019,34,944,99,0,250,77,41,48,22
06/10/2019,34,944,21,0,215,73,219,47,15
10/12/2019,38,944,84,0,307,74,319,45,20
08/01/2020,36,944,68,0,360,41,482,41,17
12/11/2020,24,944,82,1,604,33,109,70,12
26/09/2021,31,944,34,0,976,13,61,52,23
13/12/2021,29,944,67,0,548,31,176,54,9
08/03/2023,29,944,30,0,149,60,79,46,16
01/08/2023,29,944,73,1,264,12,2,46,17
22/09/2023,23,944,22,0,360,45,7,54,13
09/01/2018,38,945,60,1,497,30,98,46,17
12/12/2018,45,945,60,0,124,51,281,53,17
17/05/2020,23,945,37,0,987,22,482,49,26
02/06/2021,15,945,89,0,630,5,10,59,29
25/09/2021,23,945,81,0,695,64,55,77,19
12/12/2023,36,945,82,1,833,53,100,40,23
01/06/2018,30,946,88,1,225,35,453,63,27
26/01/2019,17,946,39,1,505,70,396,40,2
31/12/2019,39,946,31,0,522,86,21,39,17
14/06/2020,31,946,31,1,765,69,198,44,26
04/07/2020,21,946,89,0,818,47,417,50,32
02/02/2021,23,946,94,0,912,64,32,62,24
29/11/2021,33,946,73,0,977,60,337,62,21
28/01/2022,31,946,49,1,814,3,211,45,8
14/11/2022,32,946,57,0,118,13,40,54,15
17/11/2022,30,946,83,0,482,38,285,47,16
30/12/2022,38,946,20,0,320,16,371,48,18
11/08/2023,36,946,72,1,928,26,254,59,20
07/05/2018,20,947,49,0,788,49,17,49,24
01/12/2018,24,947,66,1,971,18,103,63,16
10/04/2020,30,947,43,1,889,28,142,51,23
25/10/2020,34,947,54,0,982,95,390,40,22
09/01/2023,27,947,60,1,514,23,370,52,7
23/01/2018,54,948,95,0,488,93,324,59,23
24/06/2018,23,948,23,0,407,36,252,64,27
30/05/2019,22,948,92,1,411,76,499,48,34
17/10/2019,26,948,76,0,599,11,124,61,16
25/11/2019,28,948,96,0,765,50,386,43,19
19/10/2020,27,948,63,0,924,35,69,52,20
31/03/2023,21,948,26,1,974,50,467,50,18
08/07/2023,28,948,43,0,748,63,29,58,22
10/07/2023,29,948,35,1,263,14,301,40,23
26/01/2018,27,949,90,0,126,88,485,38,23
24/03/2018,47,949,41,0,843,61,484,62,15
31/05/2018,32,949,74,1,221,100,186,62,21
14/02/2019,28,949,64,1,626,34,76,30,14
06/05/2020,27,949,64,1,929,99,23,35,25
04/11/2020,28,949,51,0,577,49,53,35,13
14/02/2022,35,949,75,1,988,84,415,57,19
09/04/2022,29,949,46,1,190,33,371,43,26
19/04/2022,21,949,27,0,934,7,449,40,27
06/06/2022,20,949,69,1,335,90,318,51,18
04/07/2022,23,949,86,0,411,12,7,44,24
24/07/2023,21,949,96,0,781,34,359,48,28
06/11/2023,40,949,48,0,143,39,476,39,22
25/04/2018,24,950,44,0,611,84,498,58,32
01/08/2018,26,950,25,1,918,32,24,32,15
05/11/2019,33,950,91,1,814,5,4,51,14
28/03/2020,24,950,79,0,317,19,81,50,18
23/06/2020,32,950,26,0,456,44,167,46,20
29/01/2021,31,950,79,1,494,44,309,44,15
08/05/2022,23,950,97,0,487,87,258,69,32
07/07/2022,22,950,30,1,818,41,213,49,10
16/03/2023,35,950,74,0,804,46,462,54,24
23/07/2023,17,950,43,1,371,47,355,51,14
30/10/2023,37,950,80,0,584,84,454,50,20
13/01/2018,54,951,72,0,973,70,295,65,12
23/08/2019,19,951,68,1,454,90,409,43,24
18/01/2020,35,951,58,1,709,8,377,53,15
06/07/2020,29,951,99,1,871,51,168,50,17
14/07/2020,21,951,97,0,807,70,244,47,19
28/07/2020,26,951,86,0,141,74,232,40,24
31/10/2020,19,951,58,0,363,57,167,37,19
03/11/2020,32,951,62,1,154,10,448,35,15
28/09/2021,29,951,36,0,497,10,248,48,16
18/01/2022,35,951,35,1,994,5,9,59,16
04/06/2022,22,951,26,0,309,29,473,64,28
31/10/2022,28,951,84,1,663,59,405,44,14
03/04/2023,23,951,78,0,715,39,357,40,28
31/08/2023,19,951,93,1,457,53,225,37,17
02/09/2023,25,951,30,1,499,52,432,55,20
14/12/2023,33,951,90,1,985,54,294,53,24
21/01/2024,33,951,32,1,161,19,415,71,13
02/03/2018,42,952,79,0,910,11,324,55,23
12/04/2019,23,952,62,0,107,80,32,59,28
19/05/2019,34,952,73,0,795,70,2,74,33
06/08/2019,30,952,39,0,778,82,429,59,28
08/01/2021,32,952,72,1,301,47,331,44,12
03/02/2021,33,952,69,0,530,30,143,64,10
26/02/2022,28,952,66,0,757,67,177,51,24
28/04/2022,27,952,66,1,545,52,105,52,23
03/10/2022,31,952,72,1,151,57,458,60,17
14/08/2023,28,952,64,0,113,45,350,35,22
22/02/2018,44,953,80,1,145,12,97,61,18
22/05/2018,29,953,76,1,916,8,118,63,21
08/06/2018,28,953,54,0,298,1,60,51,28
12/08/2018,20,953,79,0,420,65,480,46,25
20/05/2020,27,953,34,1,111,99,64,59,18
11/02/2022,31,953,84,1,363,97,286,58,16
29/12/2022,24,953,54,1,696,73,380,40,21
26/04/2023,24,953,27,0,162,99,28,46,20
01/06/2023,22,953,50,0,931,93,475,45,32
17/12/2023,30,953,56,0,117,18,393,46,21
13/03/2018,32,954,88,1,422,95,361,50,25
04/08/2018,18,954,91,1,550,25,351,40,21
28/07/2019,18,954,46,0,445,40,100,64,24
05/09/2019,21,954,28,1,389,55,15,54,18
30/10/2019,28,954,31,0,395,93,167,43,21
12/02/2020,35,954,59,1,688,86,68,60,8
13/05/2020,13,954,85,1,197,33,26,45,24
29/06/2020,32,954,39,1,548,46,343,54,18
19/03/2021,30,954,100,1,847,30,312,40,15
12/11/2021,36,954,42,0,172,24,58,70,21
30/07/2022,28,954,77,0,920,4,135,49,26
24/08/2022,26,954,88,1,399,71,130,46,23
19/10/2022,30,954,33,1,683,36,379,47,15
24/01/2023,25,954,65,0,533,40,241,53,15
04/02/2023,41,954,22,0,927,57,96,47,20
23/04/2023,26,954,82,1,358,44,291,52,20
05/05/2023,27,954,91,1,839,18,181,47,24
04/02/2024,28,954,100,0,618,85,92,54,26
12/05/2018,15,955,62,0,737,72,129,59,31
20/08/2018,18,955,56,0,916,61,149,44,23
26/09/2019,23,955,67,1,177,44,313,47,12
02/01/2020,28,955,35,1,779,36,154,41,7
10/03/2020,32,955,47,1,165,72,315,67,15
06/11/2020,34,955,94,1,696,19,491,39,13
01/03/2022,29,955,92,1,971,55,52,70,17
25/02/2018,38,956,61,0,960,40,297,48,15
25/09/2019,18,956,39,0,222,38,66,56,22
27/04/2020,24,956,94,1,903,90,63,38,30
16/12/2021,27,956,26,0,738,1,389,51,19
18/06/2022,22,956,43,0,415,53,282,31,24
14/07/2022,29,956,32,0,205,53,415,51,17
30/04/2023,21,956,25,1,856,22,7,38,23
28/01/2024,30,956,82,1,237,14,178,49,14
15/02/2024,41,956,44,0,943,17,248,61,14
14/05/2018,65,957,24,1,403,93,266,30,19
17/03/2019,27,957,99,0,371,39,276,46,17
09/08/2019,25,957,51,0,120,42,386,58,21
30/11/2019,20,957,20,1,140,14,346,41,18
11/03/2020,28,957,44,1,107,91,345,64,14
13/02/2021,32,957,68,0,287,84,53,47,11
27/08/2021,26,957,20,0,973,11,51,40,22
09/12/2021,31,957,94,0,467,68,491,59,24
14/06/2023,29,957,22,1,339,48,265,72,23
27/01/2018,32,958,82,0,575,60,444,54,26
05/04/2018,32,958,96,1,216,35,216,44,21
21/08/2018,22,958,68,0,608,25,223,50,24
08/11/2018,41,958,22,1,221,12,477,55,21
03/10/2019,41,958,56,0,492,45,176,45,11
18/07/2020,29,958,40,0,606,49,234,51,22
02/03/2021,40,958,100,1,869,20,418,50,25
18/03/2021,45,958,92,0,238,62,431,50,23
19/06/2022,18,958,62,0,675,7,43,49,25
03/07/2022,16,958,80,1,429,68,331,46,19
07/01/2023,38,958,42,0,824,82,32,55,17
20/02/2024,33,958,21,0,924,33,219,42,20
25/05/2018,20,959,89,0,976,85,251,60,26
21/06/2019,28,959,50,1,520,6,142,71,14
08/12/2019,32,959,27,0,692,73,16,41,18
14/02/2020,42,959,40,0,685,74,85,65,17
21/03/2020,36,959,72,1,403,83,44,37,12
26/06/2020,26,959,21,0,693,99,490,39,31
07/09/2020,20,959,45,0,130,59,139,34,21
10/02/2021,32,959,38,1,664,47,491,53,14
24/02/2021,29,959,56,1,995,34,154,35,11
28/11/2021,34,959,69,0,261,93,304,45,19
16/02/2022,25,959,28,1,707,94,474,62,22
01/07/2022,25,959,91,1,270,11,94,47,20
01/10/2022,38,959,69,0,605,60,105,55,12
13/10/2022,30,959,63,1,807,91,176,49,16
20/12/2022,40,959,28,0,498,51,170,56,7
16/04/2023,31,959,90,0,377,60,297,44,30
20/09/2023,25,959,93,0,194,63,315,53,25
21/02/2024,20,959,81,0,234,95,334,67,16
17/05/2018,37,960,69,1,308,50,345,31,18
02/07/2018,38,960,37,1,911,72,406,47,25
05/07/2018,24,960,37,0,445,74,366,52,25
25/06/2020,31,960,40,0,375,71,203,33,26
24/10/2020,38,960,70,1,628,20,335,43,14
28/03/2021,37,960,22,0,285,38,383,41,18
12/10/2021,19,960,54,1,444,46,380,40,19
28/02/2022,34,960,82,1,717,39,497,47,18
25/09/2022,27,960,35,0,396,98,27,45,22
18/02/2023,36,960,96,0,779,43,330,55,19
13/05/2023,21,960,86,0,184,25,270,42,17
24/12/2023,40,960,60,0,252,85,121,47,26
29/03/2018,35,961,26,0,940,88,346,41,25
06/09/2019,24,961,90,0,762,59,44,54,23
03/02/2020,42,961,36,1,480,93,498,44,20
17/03/2020,30,961,47,0,788,55,352,36,17
02/12/2020,24,961,85,1,769,67,196,48,12
25/05/2021,25,961,91,1,744,63,472,60,23
18/06/2021,35,961,71,1,301,66,490,51,24
24/09/2021,29,961,85,1,346,85,219,47,18
07/01/2022,26,961,92,0,680,40,415,47,17
13/01/2022,28,961,75,0,293,62,147,55,17
14/04/2022,21,961,99,0,398,20,216,62,28
29/01/2023,31,961,30,1,704,43,193,52,11
27/11/2018,33,962,27,0,538,96,377,43,28
29/08/2020,25,962,45,1,273,2,490,40,21
01/03/2021,33,962,65,1,459,85,24,49,12
27/06/2021,29,962,67,1,940,85,217,51,25
11/11/2021,24,962,69,1,676,54,250,56,14
20/07/2022,17,962,53,1,447,57,341,34,18
18/08/2022,19,962,52,1,919,1,21,57,22
07/12/2022,29,962,46,0,281,47,445,45,23
03/06/2020,23,963,33,1,601,62,251,39,12
19/08/2020,29,963,28,0,146,33,190,59,25
14/06/2021,23,963,73,1,107,90,287,53,22
10/07/2021,23,963,24,0,351,38,186,59,25
14/10/2021,31,963,74,1,730,69,113,47,22
04/01/2022,35,963,31,1,861,42,134,78,9
04/05/2022,18,963,57,0,947,78,144,68,27
17/06/2022,26,963,82,0,505,33,209,47,29
11/09/2022,33,963,92,1,175,28,376,67,20
26/11/2022,28,963,59,0,523,49,164,51,15
06/12/2022,33,963,99,1,265,38,464,71,16
21/12/2022,26,963,36,1,900,24,357,54,17
02/05/2023,37,963,92,1,942,34,10,38,20
19/09/2023,28,963,24,0,749,74,7,35,29
21/10/2023,35,963,87,1,635,83,161,60,19
02/02/2024,32,963,24,1,306,91,306,39,11
12/02/2018,33,964,72,1,409,57,163,38,13
15/02/2018,34,964,22,0,384,44,402,43,23
19/04/2018,27,964,44,0,550,66,237,64,28
09/10/2018,54,964,43,1,793,12,182,43,18
06/03/2019,42,964,93,1,852,67,4,72,14
14/03/2019,37,964,21,0,326,23,162,52,9
20/03/2019,37,964,73,1,562,79,414,39,27
12/09/2019,23,964,51,0,533,27,16,39,27
02/12/2019,28,964,99,1,615,32,75,42,13
24/01/2020,32,964,37,0,604,44,245,43,10
25/01/2020,37,964,30,1,274,99,277,70,15
06/03/2022,28,964,24,1,788,49,351,62,16
30/04/2022,20,964,73,1,433,12,218,62,17
01/06/2022,20,964,89,1,146,89,66,47,19
11/12/2022,31,964,24,0,864,74,392,54,28
12/01/2024,36,964,36,1,427,44,166,53,15
02/04/2018,37,965,52,0,660,28,360,53,28
20/07/2018,30,965,80,0,207,35,478,64,30
12/12/2019,32,965,81,1,903,84,261,67,12
03/05/2020,29,965,76,0,526,81,466,48,29
08/07/2020,28,965,55,0,859,22,169,60,26
16/10/2020,37,965,40,1,778,6,306,60,15
07/12/2020,30,965,30,0,952,51,303,49,20
14/01/2021,27,965,99,1,878,82,142,55,25
24/04/2022,22,965,30,0,233,2,101,33,19
17/06/2023,37,965,79,1,849,90,121,39,34
17/09/2023,23,965,23,0,467,44,189,43,22
01/10/2023,26,965,91,1,418,59,358,42,9
05/06/2018,22,966,51,1,711,17,438,66,20
01/09/2018,24,966,61,1,220,60,264,55,16
24/04/2019,13,966,31,1,801,74,280,38,19
09/11/2019,33,966,81,0,758,53,468,50,24
21/10/2020,28,966,63,0,632,90,216,37,12
22/03/2021,23,966,71,0,399,3,50,55,26
06/04/2021,34,966,62,1,213,52,412,55,24
25/01/2022,39,966,76,0,897,87,124,52,22
09/02/2022,28,966,27,0,868,64,381,58,29
10/02/2022,33,966,29,1,117,12,17,43,7
12/10/2022,30,966,80,0,760,81,487,47,15
25/10/2022,28,966,43,1,779,20,56,57,18
28/11/2022,36,966,26,0,620,71,39,56,14
17/02/2023,34,966,77,1,952,36,367,49,23
25/07/2023,25,966,56,1,708,28,163,53,20
03/08/2023,23,966,69,0,999,99,208,32,18
11/09/2023,23,966,68,1,212,22,117,43,20
